dhcp_fingerprint_id,device_id,satori_name,device_type,device_vendor,dhcp_option55
1014,41,Cisco 8831 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
11247,41,Cisco 8841 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,42,66,6,3,15,150,35"
55153,41,Cisco 8841 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,28,2,121,15,6,12,40,41,42,26,119,3,121,249,33,252,42,17"
42711,41,Cisco 8841 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150,2,7,42,43,58,59,159,160"
42711,41,Cisco 8851 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,35,66,150,2,7,42,43,58,59,159,160"
2037,41,Cisco 8945 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,15,6,12,35,66,150"
2037,41,Cisco 8945 IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,15,6,12,35,66,150"
1394,41,Cisco Aironet 1130,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
1394,41,Cisco Aironet 1130,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
156,41,Cisco Aironet 1130,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1130,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1140,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1140,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1200,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
1394,41,Cisco Aironet 1200,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
156,41,Cisco Aironet 1200,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
1394,41,Cisco Aironet 1200,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
1394,41,Cisco Aironet 1240,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
10262,41,Cisco Aironet 1240,Wireless Access Point,"Cisco Systems, Inc.","1,66,6,3,67,150,43"
1394,41,Cisco Aironet 1240,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
10262,41,Cisco Aironet 1240,Wireless Access Point,"Cisco Systems, Inc.","1,66,6,3,67,150,43"
1394,41,Cisco Aironet 1310,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
156,41,Cisco Aironet 1310,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
1394,41,Cisco Aironet 1310,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
156,41,Cisco Aironet 1310,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
1856,41,Cisco Aironet 1310,Wireless Access Point,"Cisco Systems, Inc.","1,66,6,15,44,3,67,12,33,150,43"
11488,41,Cisco Aironet 1500,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,43,6,15"
68885,41,Cisco Aironet 1500,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,43,6,15,7"
11488,41,Cisco Aironet 1500,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,43,6,15"
156,41,Cisco Aironet 1530,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1530,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1550,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 1550,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
47410,41,Cisco Aironet 1560,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
156,41,Cisco Aironet 1570,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
47410,41,Cisco Aironet 1815,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 1815,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 1815,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
42794,41,Cisco Aironet 1850,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,43"
156,41,Cisco Aironet 2600,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 2600,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 2700,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 2700,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
42794,41,Cisco Aironet 2800,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,43"
42794,41,Cisco Aironet 2800,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,43"
47410,41,Cisco Aironet 2800,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 2800,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 2800,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
156,41,Cisco Aironet 3500,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 3500,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 3600,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
289,41,Cisco Aironet 4800,Wireless Access Point,"Cisco Systems, Inc.","1,3,6,15"
60441,41,Cisco Aironet 4800,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,6,15,67,4"
45415,41,Cisco Aironet 4800,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,6,15,67,4,7"
45415,41,Cisco Aironet 4800,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,6,15,67,4,7"
156,41,Cisco Aironet 702,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
156,41,Cisco Aironet 702,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,7,33,150,43"
47410,41,Cisco Aironet 9105AXx,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 9105AXx,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 9120AX,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 9120AX,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 9120AX,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
47410,41,Cisco Aironet 9164,Wireless Access Point,"Cisco Systems, Inc.","1,15,3,28,12,6,7,26,42,43"
66,41,Cisco ATA 186,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
66,41,Cisco ATA 186,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
67,41,Cisco ATA 186,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,51,150"
142,41,Cisco ATA 188,VoIP Phone,"Cisco Systems, Inc.","1,3,6,12,15,42,66,150"
142,41,Cisco ATA 188,VoIP Phone,"Cisco Systems, Inc.","1,3,6,12,15,42,66,150"
49319,41,Cisco Catalyst 29xx,Switch,"Cisco Systems, Inc.","1,66,6,3,67,12,150"
44063,41,Cisco Catalyst 29xx,Switch,"Cisco Systems, Inc.","1,66,6,3,67"
10262,41,Cisco Catalyst 29xx,Switch,"Cisco Systems, Inc.","1,66,6,3,67,150,43"
2045,41,Cisco Catalyst 35xx,Switch,"Cisco Systems, Inc.","1,6,15,44,3,33"
60443,41,Cisco Catalyst 35xx,Switch,"Cisco Systems, Inc.","1,6,15,44,52"
66,41,Cisco IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,3,6,15,42,66,150"
1014,41,Cisco IP Phone,VoIP Phone,"Cisco Systems, Inc.","1,66,6,3,15,150,35"
45415,41,Cisco Wireless Access Point,Wireless Access Point,"Cisco Systems, Inc.","1,28,3,6,15,67,4,7"
1394,41,Cisco Wireless Access Point,Wireless Access Point,"Cisco Systems, Inc.","1,6,15,44,3,33,150,43"
19348,41,Cisco Wireless Access Point,Wireless Access Point,"Cisco Systems, Inc.","1,66,6,15,44,3,67,33,150,43"
1856,41,Cisco Wireless Access Point,Wireless Access Point,"Cisco Systems, Inc.","1,66,6,15,44,3,67,12,33,150,43"
56314,50,Clipcomm IP Phone,VoIP Phone,"Clipcomm, Inc.","1,3,6,15,44,46,47,31,33,43"
60445,82,Compex Wireless Access Point,Wireless Router,"Compex Systems Pte, Ltd. ","1,3,15,6,43,77"
450,15692,Crestron,,https://www.crestron.com/,"1,33,3,6,15,28,51,58,59"
555,,DD-WRT Router,Wireless Router,DD-WRT,"1,3,6,12,15,28,40,41,42"
71752,117,Debian 12.5,,,"1,2,6,12,15,26,28,121,3,33,40,41,42,119,249,252,17"
246,117,Debian 3.1,,,"1,28,2,3,15,6,12"
246,117,Debian 3.1,,,"1,28,2,3,15,6,12"
11375,117,Debian 4 based distro,,,"1,28,2,3,15,6,12,44,47,26"
11375,117,Debian 4 based distro,,,"1,28,2,3,15,6,12,44,47,26"
275,117,Debian 5,,,"1,28,2,3,15,6,119,12,44,47,26,121"
275,117,Debian 5,,,"1,28,2,3,15,6,119,12,44,47,26,121"
276,117,Debian 6,,,"1,28,2,3,15,6,119,12,44,47,26,121,42"
276,117,Debian 6,,,"1,28,2,3,15,6,119,12,44,47,26,121,42"
276,117,Debian 7,,,"1,28,2,3,15,6,119,12,44,47,26,121,42"
276,117,Debian 7,,,"1,28,2,3,15,6,119,12,44,47,26,121,42"
715,117,Debian GNU/Linux 8 (jessie),,,"3,1,252,42,15,6,12"
715,117,Debian GNU/Linux 8 (jessie),,,"3,1,252,42,15,6,12"
246,117,Debian-based Linux,,,"1,28,2,3,15,6,12"
248,117,Debian-based Linux,,,"1,28,2,3,15,6,12,42"
56423,117,Debian-based Linux,,,"3,6,15,28,12,7,9,42,48,49"
249,117,Debian-based Linux,,,"1,28,2,3,15,6,12,44,47"
11375,117,Debian-based Linux,,,"1,28,2,3,15,6,12,44,47,26"
362,160,Dell C1760nw Color Printer,Printer,"Dell, Inc.","1,2,3,6,12,15,26,28,88,44,45,46,47,70,69,78,79"
43556,160,Dell iDrac,,"Dell, Inc.","1,3,6,12,15,28,42,43,121,249"
362,160,Dell Printer,Printer,"Dell, Inc.","1,2,3,6,12,15,26,28,88,44,45,46,47,70,69,78,79"
193,44,D-Link Wireless Router,Wireless Router,"D-Link Systems, Inc.","1,3,6,12,15,66,69,70,67"
1209,,DSL 4.4.x,,,"1,3,6,15,28,12,7,9,42,48,49"
1209,,DSL 4.4.x,,,"1,3,6,15,28,12,7,9,42,48,49"
14837,99,Enterasys HiPath Wireless Access Point 2610/2620/2650/2660,Wireless Access Point,"Enterasys Networks, Inc.","1,28,3,6,15,12"
