id,value,created_at,updated_at
309,"6553,6553,6553,6553,6553,19660",2019-06-15 21:09:33,2019-06-15 21:09:33
310,"6553,6553,6553,6553,6553,19660,6553",2019-06-15 21:25:53,2019-06-15 21:25:53
311,"6553,6553,6553,6553,6553,6553,6553,6553",2019-06-17 13:18:38,2019-06-17 13:18:38
312,"19660,19660,19660,19660",2019-06-17 13:30:00,2019-06-17 13:30:00
313,32767,2019-06-17 13:39:28,2019-06-17 13:39:28
314,"39321,39321",2019-06-17 13:44:23,2019-06-17 13:44:23
315,45874,2019-06-17 13:49:14,2019-06-17 13:49:14
316,"52428,52428,52428,52428,52428,52428",2019-06-17 13:55:03,2019-06-17 13:55:03
317,"39321,39321,39321,39321,39321",2019-06-17 14:32:33,2019-06-17 14:32:33
318,52428,2019-06-17 14:42:24,2019-06-17 14:42:24
319,58981,2019-06-17 14:47:07,2019-06-17 14:47:07
320,"65535,65535",2019-06-17 14:51:17,2019-06-17 14:51:17
321,"26213,26213",2019-06-17 15:11:13,2019-06-17 15:11:13
322,"39321,39321,39321",2019-06-17 15:21:08,2019-06-17 15:21:08
323,"45874,45874,45874,45874,45874,45874,45874,45874,45874,45874,45874",2019-06-17 15:25:27,2019-06-17 15:25:27
324,65535,2019-06-17 15:39:47,2019-06-17 15:39:47
325,39321,2019-06-17 16:09:22,2019-06-17 16:09:22
326,"52428,52428,52428",2019-06-17 16:19:25,2019-06-17 16:19:25
327,"58981,58981,58981,58981,58981",2019-06-17 16:23:50,2019-06-17 16:23:50
328,"58981,58981",2019-06-17 17:15:10,2019-06-17 17:15:10
329,"65535,65535,65535",2019-06-17 17:19:55,2019-06-17 17:19:55
330,"6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553",2019-06-17 17:25:08,2019-06-17 17:25:08
331,"32767,32767",2019-06-17 17:46:30,2019-06-17 17:46:30
332,"45874,45874",2019-06-17 17:57:21,2019-06-17 17:57:21
333,"19660,19660,19660",2019-06-17 18:40:16,2019-06-17 18:40:16
334,"45874,45874,45874,45874,45874,45874",2019-06-17 19:00:25,2019-06-17 19:00:25
335,"52428,52428,52428,52428,52428,52428,52428,52428,52428,52428",2019-06-17 19:02:21,2019-06-17 19:02:21
336,"32767,32767,32767",2019-06-17 20:51:50,2019-06-17 20:51:50
337,"52428,52428,52428,52428,52428,52428,52428,52428,52428,52428,52428,52428",2019-06-17 21:13:34,2019-06-17 21:13:34
338,"13106,13106,13106,13106,13106,13106,13106",2019-06-17 21:42:31,2019-06-17 21:42:31
339,"58981,58981,58981,58981,58981,58981,58981",2019-06-17 22:37:18,2019-06-17 22:37:18
340,"65535,65535,65535,65535,65535,65535,65535",2019-06-17 22:45:32,2019-06-17 22:45:32
341,"17,23,24,2631",2019-06-19 20:21:18,2019-06-19 20:21:18
342,"65535,65535,65535,65535,65535,65535",2019-06-20 13:04:59,2019-06-20 13:04:59
343,"65535,65535,65535,65535,65535,65535,65535,65535,65535,65535",2019-06-20 14:10:00,2019-06-20 14:10:00
344,"65535,65535,65535,65535,65535",2019-06-20 14:32:34,2019-06-20 14:32:34
345,"65535,65535,65535,65535",2019-06-20 15:10:27,2019-06-20 15:10:27
346,"200,51211",2019-06-23 23:08:39,2019-06-23 23:08:39
347,"13106,13106,13106",2019-06-25 11:47:34,2019-06-25 11:47:34
348,"24,215",2019-06-27 15:05:08,2019-06-27 15:05:08
349,"48521,9090",2019-07-01 16:06:30,2019-07-01 16:06:30
350,"19660,19660,19660,19660,19660,19660",2019-07-05 10:17:41,2019-07-05 10:17:41
351,"26213,26213,26213",2019-07-05 10:44:16,2019-07-05 10:44:16
352,"32767,32767,32767,32767,32767,32767,32767,32767",2019-07-05 11:11:21,2019-07-05 11:11:21
353,"17,13130,13131,39,13106,13106",2019-07-05 18:03:37,2019-07-05 18:03:37
354,"6553,6553,6553,6553,6553,6553",2019-07-05 18:04:06,2019-07-05 18:04:06
355,"6571,6577,6578,6593,6553,6553",2019-07-05 18:06:23,2019-07-05 18:06:23
356,"17,13130,24,39,13106,13106",2019-07-05 18:11:50,2019-07-05 18:11:50
357,"17,13130,24,39",2019-07-05 18:33:37,2019-07-05 18:33:37
358,"17,26237,24,39",2019-07-05 18:44:32,2019-07-05 18:44:32
359,"17,26237,13131,39",2019-07-05 18:52:44,2019-07-05 18:52:44
360,"6553,19660,6553,6553",2019-07-05 18:53:10,2019-07-05 18:53:10
